Marca,Título do Produto,URL do Produto,Descrição HTML,Tags,Título da Variante,SKU,Preço (€),Caminhos das Imagens Locais
BEZZER,BEZZER BLUEBERRY 50MG,https://snusmart.com/products/bezzer-blueberry-50mg,,,Default Title,5900178958309,3.79,/home/ubuntu/snusmart_data/images/bezzer-blueberry-50mg_80233128329542.jpg
BEZZER,BEZZER STRAWBERRY 10MG,https://snusmart.com/products/bezzer-strawberry-10mg,,STRAWBERRY,Default Title,5900178958255,3.79,/home/ubuntu/snusmart_data/images/bezzer-strawberry-10mg_80233177055558.jpg
BEZZER,BEZZER COLA 10MG,https://snusmart.com/products/bezzer-cola-10mg,,COLA,Default Title,5900178958194,3.79,/home/ubuntu/snusmart_data/images/bezzer-cola-10mg_80233132163398.jpg
BEZZER,BEZZER MINT 10MG,https://snusmart.com/products/bezzer-mint-10mg,,,Default Title,5900178958163,3.79,/home/ubuntu/snusmart_data/images/bezzer-mint-10mg_80233147728198.jpg
BEZZER,BEZZER SPEARMINT 10MG,https://snusmart.com/products/bezzer-spearmint-10mg,,,Default Title,5900178958132,3.79,/home/ubuntu/snusmart_data/images/bezzer-spearmint-10mg_80233153724742.jpg
CAMO,CAMO CHERRY COLA LIME 16MG,https://snusmart.com/products/camo-cherry-cola-lime,,"cherry, COLA, LIME",Default Title,4779056491044,3.19,/home/ubuntu/snusmart_data/images/camo-cherry-cola-lime_78427786608966.jpg
CAMO,CAMO BUBBLE GUM STRONG 16MG,https://snusmart.com/products/camo-bubble-gum-strong,,"BUBBLEGUM, MEDIUM",Default Title,4779056490627,3.19,/home/ubuntu/snusmart_data/images/camo-bubble-gum-strong_78428013625670.jpg
CAMO,CAMO ENERGY BUBBLEGUM,https://snusmart.com/products/camo-energy-bubblegum,,NICOTINE FREE,Default Title,4779056490658,3.19,/home/ubuntu/snusmart_data/images/camo-energy-bubblegum_78427801289030.jpg
CAMO,CAMO ICE COLD MINT STRONG 16MG,https://snusmart.com/products/camo-ice-cold-mint-strong,,,Default Title,4779056490535,3.19,/home/ubuntu/snusmart_data/images/camo-ice-cold-mint-strong_78427954676038.jpg
CAMO,CAMO ENERGY VANILLA COFFEE,https://snusmart.com/products/camo-vanilla-coffee,,NICOTINE FREE,Default Title,4779056490665,3.19,/home/ubuntu/snusmart_data/images/camo-vanilla-coffee_78427830518086.jpg
CAMO,CAMO WILD MINT STRONG 16MG,https://snusmart.com/products/camo-wild-mint-strong,,,Default Title,4779056490474,3.19,/home/ubuntu/snusmart_data/images/camo-wild-mint-strong_78427880784198.jpg
CAMO,CAMO GREEN APPLE X-STRONG 33.5MG,https://snusmart.com/products/camo-green-apple-x-strong,,APPLE,Default Title,4779056490603,3.19,/home/ubuntu/snusmart_data/images/camo-green-apple-x-strong_78427969093958.jpg
CAMO,CAMO BUBBLE GUM X-STRONG 33.5MG,https://snusmart.com/products/camo-bubble-gum-x-strong,,"BUBBLEGUM, STRONG",Default Title,4779056490634,3.19,/home/ubuntu/snusmart_data/images/camo-bubble-gum-x-strong_78427994423622.jpg
